day_number,tests,positives
1,5204,271
2,4265,234
3,4683,271
4,4357,237
5,3825,195
6,6165,307
7,4620,225
8,4503,220
9,5020,311
10,4873,277
11,3860,196
12,3624,219
13,4860,241
14,5532,228
15,6072,311
16,6451,251
17,4053,196
18,4960,181
19,5097,283
20,6624,288
21,6078,255
22,6532,289
23,6259,235
24,5684,258
25,3655,136
26,4853,191
27,6856,211
28,6766,344
29,7423,328
30,5682,321
31,8351,327
32,5931,230
33,4429,204
34,6813,302
35,8021,352
36,6595,286
37,7185,402
38,6176,323
39,6024,305
40,6107,328
41,6796,355
42,7035,368
43,7962,429
44,6809,409
45,6931,390
46,4921,299
47,4562,257
48,5318,312
49,7153,367
50,8518,495
51,6293,429
52,6442,359
53,4416,226
54,7245,389
55,7334,439
56,6838,380
57,8520,556
58,8387,509
59,7601,413
60,6258,369
61,7079,407
62,5587,345
63,6962,428
64,8008,513
65,8603,512
66,6487,407
67,7524,582
68,6825,421
69,6485,450
70,8233,512
71,9009,654
72,9237,561
73,8015,596
74,6342,467
75,5702,319
76,7736,543
77,5387,428
78,6949,462
79,7224,456
80,9727,612
81,5327,358
82,3899,330
83,5285,388
84,5893,352
85,20764,951
86,10617,742
87,6809,449
88,4064,330
89,5842,436
90,5278,288
91,6903,310
92,8268,432
93,8077,466
94,7889,405
95,5978,311
96,5103,297
97,7888,386
98,8002,437
99,8188,393
100,19380,645
101,7587,415
102,5247,287
103,5850,274
104,5720,260
105,9646,468
106,11163,535
107,10344,578
108,7407,431
109,7718,420
110,6669,304
111,7812,440
112,9334,370
113,10996,570
114,12536,534
115,9008,428
116,6731,379
117,6227,365
118,8374,505
119,11491,656
120,11159,560
121,11711,669
122,10493,598
123,8414,623
124,9151,759
125,8015,588
126,9626,627
127,14367,1016
128,15041,944
129,14725,1087
130,8791,743
131,9523,809
132,10442,849
133,13171,1040
134,11895,945
135,15414,969
136,13528,1237
137,10640,957
138,9741,1022
139,10541,1161
140,13554,1437
141,15115,1440
142,17071,1861
143,15800,1811
144,11361,1470
145,13575,1635
146,11965,1445
147,14481,1843
148,15237,1932
149,18087,2109
150,16822,2631
151,12072,1852
152,15847,2535
153,14452,2556
154,17320,2650
155,17377,3089
156,21207,3044
